ID,企业名称,产品线,行业,来源,已知应用名,发现时间
1,帮助中心,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
2,提供企业级信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
3,会议和邮件等信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
4,让机器人在公司,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
5,业务信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
6,将分散在各处的工作信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
7,可将活动信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
8,可管理员工花名册信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
9,同事信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
10,可用上下游连接全球分公司,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
11,发表的朋友圈信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
12,开发者中心,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
13,通过国家信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
14,适配复杂网络,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
15,等复杂网络,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
16,满足复杂网络,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
17,众多政府,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
18,国企以及金融,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
19,如何创作出打动大公司,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
20,南方医院,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
21,传统制造,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
22,华夏银行,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
23,招商银行,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
24,银行如何打造线上五星级营业厅,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
25,平安银行,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
26,的酒店集团,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
27,私域里的爆款制造,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
28,极米科技,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
29,谁给了这家科技,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
30,劲松口腔医院,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
31,北京大学,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
32,第一医院,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
33,揭秘这所顶级医院,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
34,餐饮集团,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
35,盈米基金,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
36,如何让重要的信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
37,松赞度假酒店集团,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
38,洲明科技,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
39,北京师范大学,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
40,极氪汽车,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
41,中山大学,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
42,山西大学,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
43,尤伦斯当代艺术中心,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
44,当代艺术中心,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
45,文档和会议中的信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
46,总结的信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
47,支持同步项目管理类应用中的任务信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
48,支持查看客户个人信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
49,入转调离新增操作者信息,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
50,安全中心,企业微信,,work.weixin.qq.com/正则提取,,2026-03-05 08:17:42
51,商家中心,钉钉,,page.dingtalk.com/正则提取,,2026-03-05 08:17:48
52,某三甲医院,企业微信,,"搜索引擎/sogou/""企业微信"" 客户案例",,2026-03-05 08:18:36
53,某汽车交易中心,企业微信,,"搜索引擎/sogou/""企业微信"" 客户案例",,2026-03-05 08:18:36
54,搜狐汽车,企业微信,,"搜索引擎/sogou/""企业微信"" 客户案例",,2026-03-05 08:18:36
55,卫瓴科技,企业微信,,"搜索引擎/sogou/""企业微信"" 客户案例",,2026-03-05 08:18:36
56,启域网络,企业微信,,"搜索引擎/sogou/""企业微信"" 客户案例",,2026-03-05 08:18:36
57,在客户朋友圈发布商品信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
58,避免中老年人出门去药店或医院,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
59,在客户朋友圈中进行商品信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
60,消毒水等用户急需产品的到货信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
61,为了让公司,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
62,的用户画像等信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
63,由于经销商不属于公司,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
64,直接打破了与经销商之间以及经销商与集团,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:18:41
65,腾讯公司,企业微信,,"搜索引擎/sogou/""企业微信"" 合作企业",,2026-03-05 08:19:01
66,批量为上下游发送信息,企业微信,,"搜索引擎/sogou/""企业微信"" 合作企业",,2026-03-05 08:19:01
67,可以给上下游企业共享信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:19:05
69,企业微信帮助中心,企业微信,,"搜索引擎/bing/""企业微信"" 成功案例",,2026-03-05 08:19:33
70,助力企业提升工作效率和信息,企业微信,,"搜索引擎/bing/""企业微信"" 成功案例",,2026-03-05 08:19:33
71,微信是腾讯公司,企业微信,,"搜索引擎/sogou/""企业微信"" 成功案例",,2026-03-05 08:19:33
85,跨地区等复杂网络,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
88,松赞度假酒店,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
89,藏地最美酒店,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
119,灵活配置确保信息,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
120,可添加水印确保信息,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
121,畅所欲言的公司,企业微信,,work.weixin.qq.com/文章提取,,2026-03-05 08:19:56
122,如何收集客户信息,企业微信,,"搜索引擎/sogou/""企业微信"" 标杆客户",,2026-03-05 08:20:12
123,腾讯电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
124,签企微融合助一站式电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
125,可在企业微信待办中心,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
126,企业微信上签署电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
127,高效安全的电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
128,上海财经大学,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
129,数字化创新实践中心,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
130,企业微信电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
131,怎么签电子,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
132,企业微信怎么绑定另一个公司,企业微信,,"搜索引擎/sogou/""企业微信"" 签约",,2026-03-05 08:20:38
133,随着电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
134,便捷的电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
135,管理到出证的一站式电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
136,合同发起人员登陆电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
137,配置好合同发起人签约人的信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
138,签署人点击链接后登陆电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
139,企业只需在企业微信应用中心,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
140,签企微端集成企业微信组织架构信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
141,登录电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
142,同时支持企业用户在进行电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
143,时能实现快速关联企业微信组织架构中的员工信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
144,企业微信待办中心,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
145,确认购买意向后发起电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
146,未来腾讯电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
147,专业的印章管理和电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
148,同时推进数字政府建设,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
149,包括金融,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
150,目前腾讯电子,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
151,如需了解更多产品信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:20:42
152,加企业微信会泄露个人信息,企业微信,,"搜索引擎/sogou/""企业微信"" site:36kr.com",,2026-03-05 08:21:01
153,是腾讯公司,企业微信,,"搜索引擎/sogou/""企业微信"" site:zhihu.co",,2026-03-05 08:21:27
154,将获取的客户信息,企业微信,,mp.weixin.qq.com/文章提取,,2026-03-05 08:21:55
155,某公司是一家电子,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
156,票务与电子,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
157,广州等地设立分公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
158,帮助中心,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
159,钉钉制造,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
160,钉钉酒店,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
161,冠唐云仓库帮助中心,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
162,某科技股份,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
163,有限公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
164,分子公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
165,北京数科网维技术有限责任公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户案例",,2026-03-05 08:22:16
166,北京云捷易科技,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:22:20
167,多年来在总结国内外互联网,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:22:20
168,借鉴国际电子,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:22:20
169,基于电子,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:22:20
170,推出了业内领先的电影电子,钉钉,,mp.weixin.qq.com/文章提取,,2026-03-05 08:22:20
171,在乌镇召开的第六届世界互联网,钉钉,,"搜索引擎/sogou/""钉钉"" 政务版",,2026-03-05 08:22:42
172,长春市龙行国际定制旅游有限公司,钉钉,,"搜索引擎/sogou/""钉钉"" 定制版",,2026-03-05 08:23:10
173,典名科技,钉钉,,"搜索引擎/sogou/""钉钉"" 定制版",,2026-03-05 08:23:10
174,钉钉客户管理报价明细怎么查找明细记录信息,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
175,明细信息,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
176,家标杆客户山东京博控股,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
177,集团有限公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
178,佳沃集团,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
179,以下简称佳沃集团,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
180,有零有食食品有限公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
181,信泰人寿保险,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
182,股份有限公司,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
183,以下简称信泰保险,钉钉,,"搜索引擎/sogou/""钉钉"" 客户列表",,2026-03-05 08:24:00
