ID,包名,应用名称,产品线,企业名称,开发者,版本号,版本代码,更新日期,下载量,描述,来源站点,来源URL,发现方式,质量评分,爬取时间
29467,com.tencent.tmgp.jbyckdj,抽卡对决,企业微信,深圳市钜宝游信息技术有限公司,深圳市钜宝游信息技术有限公司,1.0.0,,,1178,抽卡对决是一款独特的卡牌收集游戏，游戏中可以购买卡包抽取不同的卡牌，如果抽到相同的卡牌还可以用来换取需要的卡牌来凑集图鉴。,应用宝,https://sj.qq.com/appdetail/com.tencent.tmgp.jbyckdj,snowball_round_4,0.85,2026-03-09 19:27:34
82,com.tencent.wework,企业微信,企业微信,广州腾讯科技有限公司,深圳市腾讯计算机系统有限公司,5.0.6,,,282853920,企业微信是腾讯微信团队为企业打造的通讯与办公工具。它提供与微信一致的沟通体验，支持全方位连接微信；同时深度融合智能总结、智能搜索、智能机器人等AI智能办公能力，集成智能表格、文档、会议、邮件、日程、微盘等效率工具，以及灵活易用的OA应用，助力企业实现高效协同与管理。目前，企业微信已获得超过1400万企业和组织的信赖，共同实践并见证了智能连接带来的价值。,应用宝,https://sj.qq.com/appdetail/com.tencent.wework,known_package_verify,0.85,2026-03-09 07:08:18
84,com.tencent.docs,腾讯文档,企业微信,腾讯科技（深圳）有限公司,深圳市腾讯计算机系统有限公司,3.11.7,,,2017606,"-----腾讯文档能做什么？-----
【内容创作】
本地/云端编辑：支持查看、编辑、创建云文档和本地Office文档；
富媒体编辑：支持插入文本、图片、视频等丰富的素材形式；
实时保存：编辑文档时实时自动保存，内容不丢失；
海量模板：信息收集、打卡签到等各类模板。
【多人协作】
多人编辑：支持多人同时在线编辑，可查看编辑记录；
多端同步：各类型设备皆可顺畅访问，内容实时同步，随时随地使用；
文档分享：可生成链接或长图，分享给QQ/微信好友、微博及朋友圈。
【AI助手】
写作助手：一句话生成文档、表格、幻灯片等全品类文档，支持文章润色、扩写、续写；
阅读助手：一键快速阅读学术论文、行业报告等内容；
数据助手：支持AI写函数、做图表、生成数据报告等。
AI模型：支持混元及DeepSeek-R1满血版大模型 
【数据安全】
权限控制：可灵活设置查看及编辑权限，文档安全尽在掌控；
技术保障：云端存储加密技术为文档安全保驾护航；
版权保护：文档支持设置和展示水印，版权有保障。

  联系我们
腾讯文档官方网站：docs.qq.com
意见反馈：登录腾讯文档，进入“设置-意见反馈”进行反馈。",应用宝,https://sj.qq.com/appdetail/com.tencent.docs,known_package_verify,0.85,2026-03-09 07:08:20
86,com.tencent.tim,TIM,企业微信,深圳市腾讯计算机系统有限公司,腾讯科技（北京）有限公司,4.1.0,,,23194422,"-----TIM是什么?-----
TIM是腾讯出品的一款专注高效沟通、多人协作的即时通讯应用。TIM界面清爽，操作简单，协作便捷，助你提升办公、学习、生活效率。

-----TIM有哪些功能? -----
[QQ好友及消息同步]
- QQ登录：支持QQ号直接登录，你的QQ好友及QQ消息都在，聊天更方便；
-多端同步：QQ聊天消息多端同步接收，聊天沟通更轻松；
[文件]
聊天中收发的文件、本机文件均可轻松保存到网盘，重要文件长期存储，随时查看；
[收藏]
-文字、图片、链接均可添加至“收藏”，并支持二次编辑；
[电话]
-电话会议：两人/多人实时语音电话、视频电话，异地会议无压力，畅快聊天，随心沟通；
[待办]
-随时随地创建待办事项，生活学习工作井井有条；
[日程]
-支持创建、查看日程，重要日程不再错过；
[腾讯文档]
-多人编辑：多人可同时在线编辑Word/Excel文档；
- Word/excel模板：提供会议纪要、日报等各类word/excel文档模版，团队协作更高效；
[安全能力升级]
- 账号安全能力全面升级，支持更多安全登录方式，支持管理在线设备，全方位保障账号信息安全",应用宝,https://sj.qq.com/appdetail/com.tencent.tim,known_package_verify,0.85,2026-03-09 07:08:22
88,com.tencent.mobileqq,QQ,企业微信,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,9.2.70,,,9695706791,"在QQ，轻松社交
- [聊天消息]随时随地好友和群消息；
- [语音通话]、[视频聊天]和亲友自在畅聊；
- [文件传输]手机电脑多端互传，轻松便捷。

在QQ，轻松生活
- [空间动态]快速获知好友动态，随时分享生活；
- [移动支付]话费充值、转账收款、网购一应俱全；
- [关怀模式]大字体、大图标，操作更简单，长辈使用更方便。

在QQ，轻松娱乐
- [游戏中心]体验热门手游乐趣，还有更多大神攻略分享；
- [个性装扮]各种主题、名片、彩铃、气泡、挂件自由选。

QQ将功能赋能，打造轻松欢乐的社交、娱乐与生活体验。

-----联系我们-----
如在使用过程中遇到任何问题，请联系我们：
- 在线帮助：进入QQ设置 -> 关于QQ -> 帮助与反馈
- 客服热线：4006 700 700（服务时间：8:00 - 23:00）

*加入寻找丢失儿童公益项目，GPS在后台运行可能会影响电池续航时间。",应用宝,https://sj.qq.com/appdetail/com.tencent.mobileqq,known_package_verify,0.85,2026-03-09 07:08:24
90,com.tencent.mm,微信,企业微信,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,8.0.69,,,8968035570,你可以通过音视频通话、群聊、朋友圈来和朋友们分享生活，可以通过公众号、视频号获得文章、视频内容，以及通过小程序方便地使用生活服务，还可以开启「关怀模式」，文字与按钮更大更清晰。,应用宝,https://sj.qq.com/appdetail/com.tencent.mm,known_package_verify,0.85,2026-03-09 07:08:25
92,com.tencent.map,腾讯地图,企业微信,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,10.27.2,,,244260993,"腾讯地图-腾讯团队倾力打造，用户信赖的出行导航应用！
【实时数据】
城市路况实时刷新，拥堵早知道。
室内地图，覆盖各大机场、火车站、主流商场。
【精准导航】
-提供包含驾车、打车、公交、步行、骑行等出行方式的智能规划方案和精准智能导航。综合运用大数据、算力和算法能力，提升用户的出行效率。
-实时定位精准，目的地详细位置引导，提供多种出行方式组合的方案，行业领先的AR实景步行导航，更优精准服务覆盖全程。
【路线规划】
-路线精准规划，预测出行路况与耗时，准确预估到达时间。提供路况实时刷新，推荐更优通行路线，实时躲避拥堵。
-AI语音助手『叮当叮当』智能推荐线路，语音全方位交互，导航中同步支持更改目的地、刷新路线、路况查询。
- 实时公交信息，定位公交车的实时位置，精准计算到站时间，公交拥挤程度实时显示。
【出行服务】
-打车全网一键叫车，多种车型同时呼叫，更快出发，聚合多个打车平台，价格透明。
-接入多种出行服务小程序，可以在端内预定火车票、飞机票、汽车票、无需再打开多个App，免去繁琐操作，为出游提供更多便利选择。
【联系我们】
-官方用户QQ群：293687610
",应用宝,https://sj.qq.com/appdetail/com.tencent.map,known_package_verify,0.85,2026-03-09 07:08:27
95,com.tencent.qqlive,腾讯视频,企业微信,深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,9.03.16.31283,,,5302890512,"【精彩内容，现在就要】
《玫瑰丛生》抓马！王子文刘宇宁鉴渣撕海王，三外有三人均时间管理大师
《江湖夜雨十年灯》魔教少主拐走名门千金！周翊然包上恩甜虐强制爱
《年少有为》彭昱畅全程金手指爆爽发财，今年必看爆笑贺岁剧
《我的妈妈是校花》开心麻花首部长剧！邓恩熙蒋龙刘琳“笑”子续命重启妈生
《开始捉迷藏 第2季》高能回归！玩家“上天入地”展开极致躲藏，X猎人空降上演神级搜捕！谁将成为“捉迷藏之王”？
《有歌 第2季》胡定欣黎耀祥吴卓羲与欢子唱粤语歌，一开口就有TVB内味了，童年记忆正在攻击我。
五台晚会陪你闹元宵！中央广播电视总台元宵晚会，众星与你共庆良宵！江苏、河南等卫视元宵晚会同步直播，热热闹闹过正月十五！
《得闲谨制》正午阳光十年打磨抗战佳作，肖战一身血性抗敌守家
《寻秦记》古天乐、林峯聚首重启经典，反目宿命交战！
《东北警察故事3》谢苗、崔志佳联手打拐，火力全开大快人心
《你行！你上！》姜文暌违七年喜剧新作，携手马丽爆笑养娃
【意见反馈】
如遇问题或者有好的建议，欢迎加入QQ体验群反馈，将会有萌哒哒的视频妹为大家解答，并有持续好礼相送！官方QQ群：527288510。",应用宝,https://sj.qq.com/appdetail/com.tencent.qqlive,known_package_verify,0.85,2026-03-09 07:08:29
96,com.tencent.qqmusic,QQ音乐,企业微信,腾讯音乐娱乐（深圳）有限公司,深圳市腾讯计算机系统有限公司,20.1.5.8,,,2751347256,"• 过亿正版音乐，热歌新歌每日首发，你想听的都在这里
• 海量的无损音乐曲库，优质而上乘的听觉享受
• 精品有声书、播客、儿童故事、助眠节目…沉浸式陪伴，度过闲暇时光
• 听歌识曲、哼唱识别，精准识别此刻播放或哼唱的歌曲
• 翻译歌词，支持数十万首热门英日韩泰歌曲的汉译音译
• 个性化推荐，全站依你的口味定制专属音乐内容
• 车载互联，支持宝马、福特等车型的车载应用
• 强大的搜索，歌手、专辑、歌单、MV、类型、歌词、拼音、语音多种搜索方式均支持
",应用宝,https://sj.qq.com/appdetail/com.tencent.qqmusic,known_package_verify,0.85,2026-03-09 07:08:30
28970,com.tencent.tmgp.xinhuluwa,葫芦娃,企业微信,上海憬懋网络科技有限公司,上海锐战网络科技有限公司,5.0.35,,,1426306,"还原葫芦娃动画经典,我们不毁童年!
由上海美术电影制片厂正版授权，以86年《葫芦兄弟》剪纸动画片为背景的手游大作。深度还原动漫情节，开创横版战斗手游全新玩法，挥别传统AI组队、电脑控制，策略搭配，默契组合，与游戏好友实时互动，共闯妖巢!当年的你，只能看着电视屏幕暗自捉急，如今，你却可以带着团结勇敢的葫芦娃们，拼荆斩棘，怒破妖洞大门!此番能否救出热心善良的爷爷与凄凉悲苦的小蝴蝶，还看今朝掌中葫芦娃!",应用宝,https://sj.qq.com/appdetail/com.tencent.tmgp.xinhuluwa,snowball_round_4,0.85,2026-03-09 19:13:59
