ID,包名,应用名称,产品线,企业名称,开发者,版本号,版本代码,更新日期,下载量,描述,来源站点,来源URL,发现方式,质量评分,爬取时间
107,cn.wps.moffice_eng,WPS Office,办公协同,珠海金山办公软件有限公司,珠海金山办公软件有限公司,14.41.1,,,2730700774,"WPS Office是一站式AI智能办公助手，支持移动和电脑多端协作，全端无广告，帮你高效完成文档智能创作和润色、PPT高效制作、PDF文档阅读和编辑、文件拍照扫描，稻壳模版库支持海量模版，覆盖丰富办公场景。

安卓端办公软件，个人版免费使用
用户多:全球用户600,000,000
排名高:全球APP总榜同类产品榜首
体积小:只安装一个应用即可打开所有格式文档
云办公:免费云空间，安全高效，可以在任何设备.上及时查看和编辑

远程办公推荐
-远程会议，多人音频会议，对同份文档进行讨论、标记重点
-多人编辑，大家一起写同一份文档
-共享文件夹，快速收集异地同事文件，永不过期
-WPS表单，远程打卡、信息统计分析工具 

WPS文字
 -新建文字文档，并提供信纸、简历、合同等模板-打开26种文字格式文档，包括加密文档
-智能适应手机屏幕阅读
-支持智能排版，文字段落、对象属性设置，插入图片等编辑功能
-支持语音朗读，将文字转化为声音信息

WPS表格
-新建电子表格，并提供财务、课程表等模板-打开13种表格格式文档，包括加密文档
-公式输入编辑器，解决手机输入法输入函数难的问题-背板支持选",应用宝,https://sj.qq.com/appdetail/cn.wps.moffice_eng,known_package_verify,0.85,2026-03-09 07:08:38
109,cn.wps.yun,金山文档,办公协同,珠海金山办公软件有限公司,珠海金山办公软件有限公司,3.15.1,,,3939849,"• 多人协作的在线文档
• 2.39亿用户的选择
• 高效的远程团队办公方式

—关于金山文档—

金山文档是一款可多人协作的在线文档，多人共同查看和编辑同一份文档，改动自动保存，多设备实时同步，云端储存，再不怕文件丢失；
专业的收集表单，轻松收集百万条数据，在线考试、打卡签到、健康统计，各类模板随心用。
百人远程音视频开会，文档协作共享，边看文档边开会，让远程办公、线上网课不再困难；
金山文档，让团队办公更高效！

—金山文档亮点功能—

●多人协作
1个文档，多人同时在线查看和编辑；
云端储存不怕丢，手机、电脑多设备同步编辑，即时更新；
实时保存，随时可以恢复到指定的历史版本；

●表单
百万级数据收集工具，信息私密提交，绝不泄露；
在线考试自动改，考试成绩自助查，线上考试也有紧张感；
实名制签到打卡，安全智能防代打；

●远程会议
多人远程音视频会议，一键发起，扫码参会；
边看文档边开会，即时修改、协作编辑，远程演示也如近在眼前；
网课在线课堂，授课讲解毫不卡顿；

—联系我们—
金山文档官方网站：kdocs.cn
微信公众号：金山文档
官方微博：@金山文档",应用宝,https://sj.qq.com/appdetail/cn.wps.yun,known_package_verify,0.85,2026-03-09 07:08:39
110,com.huawei.welink,welink,办公协同,华为技术有限公司,华为技术有限公司,7.52.21,,,424620,"WeLink 源自华为数字化办公实践，致力于服务中大型政企客户，是全场景安全、智能、开放的数字化办公平台，帮助客户构建AnyBody、AnyWhere、AnyDevice、do AnyBusiness的4A办公体验。

安全：尊重客户数字主权，软硬件结合的安全解决方案，保障客户信息安全与网络安全
智能：融合AI能力，无论是搜索、聊天、开会、共享知识，都能畅享智能办公体验
开放：支持客户已有应用系统快速接入，海量通用办公应用开箱即用

【选择WeLink，你可以获得】

1、全场景安全办公体验：
国内外50+个SaaS级安全认证，保护隐私安全；提供基于芯片的保密通信功能、安全沙箱能力，让过程可信，结果可追溯。

2、便捷办理各类企业业务：
通用办公应用开箱即用；开放200+API，可快速对接企业应用；提供优质第三方应用，满足各类企业不同业务所需。

3、智能高效的交互体验：
智能语音助手，一句话直达办公服务；文档、邮件、消息智能翻译，畅享跨语言沟通。

4、无缝协同交流：
一键导入企业通讯录，一键拉起群协同，消息、音视频会议、日历、邮箱、云空间等多种协同方式，让团队畅快沟通。

5、高清",应用宝,https://sj.qq.com/appdetail/com.huawei.welink,known_package_verify,0.85,2026-03-09 07:08:41
113,com.seeyon.cmp,m3,办公协同,北京致远互联软件股份有限公司,北京致远互联软件股份有限公司,4.8.7,,,496324,一款高效协作办公系统，能快速的安排和分配工作，有效的工作流程，随时随地的办公。把工作带到世界各地，只要有网络的地方就是办公室。全h5化开发，有利于个性化的改造。精美的界面，组件化设计，谁都是移动办公的开发者。,应用宝,https://sj.qq.com/appdetail/com.seeyon.cmp,known_package_verify,0.85,2026-03-09 07:08:42
115,com.weaver.emobile7,EMobile7,办公协同,泛微网络科技股份有限公司,泛微网络科技股份有限公司,7.0.76.20260225,,,87795,"请注意,这个应用免费提供给已拥有泛微“EM7协同移动办公平台”的用户使用；
E-Mobile7 是上海泛微网络科技股份有限公司(Weaver Network Co., LTD)在“协同移动办公平台”全新打造的一款新的产品。",应用宝,https://sj.qq.com/appdetail/com.weaver.emobile7,known_package_verify,0.85,2026-03-09 07:08:43
117,com.inspur.emmcloud,云加,办公协同,浪潮通用软件有限公司,浪潮通用软件有限公司,6.6.1,,,56338,云加，将浪潮GS管理软件后台业务以移动场景重新梳理，并赋予移动化、智能化、协同化的能力，为企业提供更好的移动应用体验。 云加融合最新技术，基于云部署，申请即用；融合移动设备管理云，安全可靠；支持开放标准协议，可作为统一移动入口集成第三方轻应用，是智能化的企业移动应用平台。 围绕工作沟通：在聊天中内置智能对象，可围绕审批、报告等各种业务对象进行沟通，以同步信息、共享知识、激发创意。 事项一目了然：集成会议、企业日历、待办事项、智能通知功能，将眼前与近期事项聚合，让工作井然有序。 信息一手掌握：汇聚分析报告、知识文档、企业资讯等信息资源，融合全文搜索，智能推荐等大数据技术，让智慧释于指尖。 一切皆可链接：内置集成审批、差旅报销等浪潮GS企业管理软件业务，通过云连接器、OAuth安全开放协议，可集成 第三方轻应用、数据流、消息流，统一入口，尽享极致体验。,应用宝,https://sj.qq.com/appdetail/com.inspur.emmcloud,known_package_verify,0.85,2026-03-09 07:08:45
118,com.microsoft.teams,Teams,办公协同,微软（中国）有限公司,微软（中国）有限公司,1416/1.0.0.2025224506,,,575405,"Microsoft Teams 是 Office 365 中的团队协作中心。所有团队对话、文件、会议和应用均集中在一个共享工作区中，用户可以在最喜欢的移动设备上使用。Microsoft Teams 可用于构建项目、市场运营或部门专用的团队协作环境，使团队能够以小组的形式实时沟通、快速做出决定和共享内容。
功能包括：
进行私人或群组聊天，并在专用频道中与整个团队通信
随时随地加入会议
通过实时文件编辑和共享轻松管理团队的项目
从 Office 365 获得企业级安全性和合规性
接收通知
 
Microsoft Teams 应用需要付费的 Office 365 商业订阅或 Microsoft Teams 的免费或试用订阅。如果你对公司的订阅或你有权访问的服务不确定，请访问 Office/Teams 了解详细信息或联系你的 IT 部门。
 
注意：
某些手机有可能需要更改设置才能接收通知。",应用宝,https://sj.qq.com/appdetail/com.microsoft.teams,known_package_verify,0.85,2026-03-09 07:08:46
120,com.microsoft.office.outlook,Outlook,办公协同,微软（中国）有限公司,Microsoft,5.2606.0,,,27734916,"快来体验 Android 版 Outlook，这个应用可帮助数百万用户在一个便利位置连接他们的所有电子邮件帐户、日历和文件。Android 版 Outlook 经过重新设计，让你能够在一个功能强大的收件箱执行更多操作。
想要先查看重要的邮件就到“重点”收件箱，该收件箱将重要邮件放在最上方。点击几下就可以在电子邮件和日历之间进行切换，方便你安排下一个会议或共享你的空闲时间。你也可以从文件列表中选择一个文档，再将其无缝附加到电子邮件中。
点击一下就可以访问你需要的所有内容，管理日常繁忙事务比以往更轻松。
Android 版 Outlook 可与 Microsoft Exchange、Office 365、Outlook.com、Gmail、Yahoo Mail 和 iCloud 搭配使用。

--

Android 版 Outlook 的强大功能：
无缝的收件箱管理
-	“重点”收件箱会将你重要的邮件显示在最上方。你使用它越多，它就越智能。
-	使用轻扫手势快速安排、删除和存档邮件。
轻松访问日历和文件
-	点击一下即可分享你的会议空闲时间，并可轻松查找与其他人开会的时间。",应用宝,https://sj.qq.com/appdetail/com.microsoft.office.outlook,known_package_verify,0.85,2026-03-09 07:08:48
122,com.microsoft.skydrive,SkyDrive官方版,办公协同,微软,微软,6.35,,,1567215,"无论你身处何地，使用 Microsoft OneDrive 来完成更多工作吧。从你的 Android 设备、计算机(PC 或 Mac)或所使用的任何其他设备获取并共享你的文档、照片和其他文件。无论你身处何处，使用 Office 移动应用保持你的工作效率并实现协同工作。当你出门在外时，适用于 Android 的 OneDrive 应用使你可以轻松处理你的个人和工作文件。
• 在 Word、Excel、PowerPoint 和 OneNote 等 Office 应用中轻松打开并保存 OneDrive 文件。
• 使用自动标记轻松查找照片。
•共享文档被编辑时，获取通知。
• 共享更喜爱照片和视频的专辑。
• 脱机访问你更重要的文件。
注意:
你的组织需要具有合格的 SharePoint Online 或 Office 365 企业订阅计划，以使你能够登录到 OneDrive for Business。你无法使用来自本地目录的帐户进行登录。只有在运行 Android 4.0 或更高版本的设备上才能使用相机上传、搜索、排序和添加 OneDrive for Business 帐户等功能。",应用宝,https://sj.qq.com/appdetail/com.microsoft.skydrive,known_package_verify,0.85,2026-03-09 07:08:50
124,com.microsoft.office.word,Microsoft Word,办公协同,微软（中国）有限公司,Microsoft,16.0.19725.20108,,,110323716,"免费安装微软Office办公软件应用表示您同意此条款和条件：http://aka.ms/TOU.

Word文档 
• 图像、表格、图表、SmartArt、脚注、公式等皆能完美呈现
• Word 文档和电脑上的一样精美
• 自动记忆功能让您可以在任何设备上打开上次使用的文档
• 打开doc和docx等文件

让您安心地创建和编辑Office文档
• 内容和格式在您的电脑、Mac、平板和手机等设备上都能保持一致
• 字体、图片、表格、文本框、形状、脚注、页面布局等丰富格式，让您随心所欲表达想法
• 通过修订和批注来审阅Word文档
• 通过电子邮件发送文档或超链接，与他人共享您的成果

系统要求
• 7英寸以上屏幕
• 操作系统安卓4.4.x
• ARM处理器
• 1G或更高内存

在10.1英寸及以下的平板上，个人用户用微软账号登录可免费使用核心编辑功能。订阅Office 365个人版或Office 365家庭版可激活高级功能，同时也可激活在大于10.1英寸的平板上的所有功能。企业用户需要符合条件的Office 365企业版账户(包括由世纪互联运营的Office 365)创建及编辑文档",应用宝,https://sj.qq.com/appdetail/com.microsoft.office.word,known_package_verify,0.85,2026-03-09 07:08:52
