ID,包名,应用名称,产品线,企业名称,开发者,版本号,版本代码,更新日期,下载量,描述,来源站点,来源URL,发现方式,质量评分,爬取时间
168,com.hanweb.android.zhejiang.activity,浙里办,政务服务,数字浙江技术运营有限公司,数字浙江技术运营有限公司,7.32.2,,,5501818,"“浙里办“APP于2022年12月全新改版升级！围绕“规范、智能、有温度”目标，新版在界面布局、核心能力、视觉品质等方面进行了整体提升，助力用户服务更好找、办事更好办！
【重构整体布局】
页面导航大改版，结构更清晰！首页精选全省“一网通办”的高频服务、热门事项、特色专题，智能“小浙”随时回应用户诉求。
【上线法人频道】
针对法人用户特点，新增28个法人办事模块，汇聚全省法人热门服务、惠企专区，支持企业组织授权管理、智能推送服务日历、惠企政策兑付等，新增法人“长辈版”，实现“1个APP2个版本”、个人法人便捷切换。
【独立城市入口】
新增城市专属入口，可以快速找到本地高频好用的特色服务，更及时全面地了解本地政策、生活地图、实时天气等本地讯息。
【优化服务分类】
升级线上一站办，对全省全量政务服务事项和便民惠企服务进行系统性分类，分类更简、维度更广、路径更优；新增线下就近办，通过“距离”“忙闲”“办事分类”为用户筛选办事网点。",应用宝,https://sj.qq.com/appdetail/com.hanweb.android.zhejiang.activity,known_package_verify,0.85,2026-03-09 07:09:29
745,cn.gov.pbc.dcep,数字人民币,政务服务,中国人民银行数字货币研究所,中国人民银行数字货币研究所,2.0.2.4,,,10869860,数字人民币App是数字人民币业务运营机构联合共建的移动应用，作为数字人民币官方服务平台，聚合了各业务运营机构的个人钱包服务，用户可开通个人钱包，兑换与使用数字人民币，便捷管理和查看自己所有的数字人民币资产。,应用宝,https://sj.qq.com/appdetail/cn.gov.pbc.dcep,snowball_round_1,0.85,2026-03-09 07:19:10
2188,app.e.card.system.zz,郑州市民卡,政务服务,郑州市民卡有限公司,郑州市民卡有限公司,1.1.12,,,27234,"郑州市民卡，是搭建郑州市居民服务一卡通服务管理模式的移动端载体之一，与社会保障卡线下应用相结合，为广大用户提供更加方便快捷的民生服务，实现便民服务多样化，增进民生福祉，提高社会服务管理水平，充分体现居民服务一卡通“便民、惠民、利民”的服务理念。
用户不仅能使用“郑州市民卡”乘地铁、坐公交、打出租、叫跑腿，完成便捷支付、线上购物、文旅购票、汽车充电等，还可以体验便捷、安全的普惠金融服务。",应用宝,https://sj.qq.com/appdetail/app.e.card.system.zz,snowball_round_2,0.85,2026-03-09 07:58:28
3237,cn.gov.gfdy,国防在线,政务服务,中国人民解放军新闻传播中心网络部,解放军报社,2.0.8,,,636802,"野外生存、攀岩、格斗、射击……听起来就让人热血沸腾，然而，这些技能不再遥不可及，你通过“国防在线”客户端就能得到系统的学习。“国防在线”客户端由中央军委国防动员部与解放军报社联合主办，主要面向全国大、中学校的军训学生和民兵预备役人员，是解放军报社自主研发、国内具备网络教学和社交功能的移动军事技能训练应用，是中国人民解放军官方在线军训平台。
来自全军军事院校的知名专家学者为你授课，来自各个部队的优秀教官、训练尖兵和特战队员为你示范；你在拥有权威训练指导的同时，还可以上传晒出你的训练动态，结识一众志同道合的伙伴；同时，这里聚合了解放军报各大媒体平台，一端在手即可纵览天下军事……

国防在线——掌上国防，心中国家",应用宝,https://sj.qq.com/appdetail/cn.gov.gfdy,snowball_round_2,0.85,2026-03-09 08:27:15
3747,cn.gov.zcy.integration.client,政采云军采版,政务服务,政采云股份有限公司,政采云有限公司,2.44.0,,,2702,政采云军采版App 旨在为用户提供便捷的日常办公用品采购服务，让用户随时随地可以进行采购工作。APP以移动互联网为基础，依托云计算、大数据、微服务等数智技术，既提供了便利功能，又满足了管理要求。,应用宝,https://sj.qq.com/appdetail/cn.gov.zcy.integration.client,snowball_round_2,0.85,2026-03-09 08:42:02
4688,cn.gov.tax.its,个人所得税,政务服务,国家税务总局税收大数据和风险管理局,国家税务总局税收大数据和风险管理局,2.2.8,,,75044203,个人所得税APP由国家税务总局主办，是为贯彻落实个人所得税综合与分类相结合的税制改革要求，保障全国自然人纳税人及时享受税改红利而推出的一款移动办税工具。主要支持个人所得税综合所得年度汇算等纳税申报、专项附加扣除信息填报、收入纳税明细查询、异议申诉、涉税证明材料上传、委托代理等涉税业务办理，并配套提供在线咨询、热点问题、帮助中心等功能。,应用宝,https://sj.qq.com/appdetail/cn.gov.tax.its,snowball_round_2,0.85,2026-03-09 09:10:43
5620,com.zhszcn.zhsmk,南京市民卡,政务服务,南京市市民卡有限公司,南京市市民卡有限公司,V1.4.3,,,21658,"南京市民卡APP重装上线啦，支持南京本地公交、轮渡、有轨电车扫码优惠出行，提供南京实体交通卡NFC贴卡充值、记名交通卡挂失、交通卡明细查询、南京旅游年购买及使用、查询市民营业网点、线下消费商户展示等各类生活服务内容。
原南京市民卡APP用户可直接使用原有账号密码登录使用本服务。",应用宝,https://sj.qq.com/appdetail/com.zhszcn.zhsmk,snowball_round_2,0.85,2026-03-09 09:35:37
5637,com.insigmacc.nannsmk,南宁市民卡,政务服务,南宁市市民卡信息服务有限责任公司,南宁市市民卡信息服务有限责任公司,2.10.3,,,208536,"南宁市民卡移动支付平台
南宁市民卡APP是一款南宁轨道科创投资有限公司推出的官方应用（其前身为原南宁市市民卡信息服务有限责任公司，先后经过更名与合并注销，相关业务由南宁轨道科创投资有限公司全面承继）。通过手机移动支付的方式，满足市民手机出行南宁的主要需求；建设本地化便民综合服务，为市民提供多渠道、全方位的网上综合服务体验。
【功能简介】：
1.电子市民卡：目前已支持南宁市所有公交线路（含BRT）；
2.网上营业厅：支持市民卡联机刷卡、网上充值、查询余额、挂失、学生卡办理、电子发票等服务；
3.网点查询：可查询线下市民卡网点信息；
4.便民缴费：提供市民水费缴纳、话费流量充值等生活服务；
5.服务商城：购买纪念版不记名卡、家庭充值宝、智能手环等；
6.惠生活：提供时间银行、旅游服务、家政服务、宠物服务、净水器申领等精彩优惠便民服务；
后期还将逐步实现更多市民卡应用、市民生活服务，包括同城公益、体育场馆预订等。
【联系反馈】如有任何疑问和建议，通过APP内[个人中心]-[关于我们]-[意见反馈]或通过以下方式联系我们：
官方客服：400-1157-888
官方微博：南宁市民卡公司
官方微信",应用宝,https://sj.qq.com/appdetail/com.insigmacc.nannsmk,snowball_round_2,0.85,2026-03-09 09:36:01
6111,cn.gov.chinatax.gt4.app,电子税务局,政务服务,国家税务总局税收大数据和风险管理局,国家税务总局,1.2.15,,,3896453,电子税务局APP是国家税务总局主办的全国统一规范电子税务局移动端，是从用户体验角度出发为纳税人精心设计、提供最适合在移动端办理的涉税业务的一款移动办税工具。主要支持纳税申报、税款缴纳、证明开具、信息报告、发票代开及发票开具等涉税业务办理，并配套提供账户中心、征纳互动在线咨询等功能。,应用宝,https://sj.qq.com/appdetail/cn.gov.chinatax.gt4.app,snowball_round_2,0.85,2026-03-09 09:46:08
7253,com.zwzs,政务助手,政务服务,深圳市特发政务服务有限公司,深圳市特发政务服务有限公司,5.32.9.2,,,43280,政务助手APP是一款远程信息核实系统，运用于办理企业设立、变更、注销、登记（备案）时对相关自然人进行身份信息确认。办事人不用亲临现场，用手机远程操作即可.,应用宝,https://sj.qq.com/appdetail/com.zwzs,snowball_round_3,0.85,2026-03-09 10:13:16
