ID,包名,应用名称,产品线,企业名称,开发者,版本号,版本代码,更新日期,下载量,描述,来源站点,来源URL,发现方式,质量评分,爬取时间
89,com.ss.android.lark,飞书,飞书,北京飞书科技有限公司,北京飞书科技有限公司,7.63.9,,,2974135,"飞书是字节跳动旗下 AI 工作平台，提供一站式协同办公、组织管理、业务提效工具与深入企业场景的 AI 能力，让 AI 真能用、真落地。互联网、高科技、消费零售、制造、金融、医疗等行业的先进企业，都在选择飞书，共创行业最佳实践。先进团队，先用飞书。

#飞书 AI，真能用、真落地#
飞书将 AI 融入企业知识和业务流程，与各行业先进企业共同探索 AI 落地实践，做企业长期值得信赖的 AI 伙伴。
- 知识问答：企业专属 AI 问答工具，基于飞书内知识沉淀，无需整理知识库即可回答业务问题、撰写文档，权限安全、答案千人千面。
- 智能会议纪要：提供实时总结与会后回顾，精准提炼纪要与待办，让会议成果高效落地、沉淀内容、AI再利用。
- 飞书 aily：企业级智能体，可检索知识、思考规划、调用工具执行复杂任务，为员工提供全方位智能工作支持。
- 多维表格 AI：融合豆包、DeepSeek R1，大幅提升业务效率——业务一张表，AI满血跑！

此外，飞书还提供消息、音视会议、云文档、知识库、日历、审批、邮箱等一站式协同能力，让信息流动更顺畅，让每一个人工作更高效更愉悦，并为AI沉淀企业数字资产。",应用宝,https://sj.qq.com/appdetail/com.ss.android.lark,known_package_verify,0.85,2026-03-09 07:08:24
91,com.ss.android.article.news,今日头条,飞书,北京抖音信息服务有限公司,北京抖音信息服务有限公司,15.7.0,,,2231606067,"官方推荐精品应用，千万网友与你一起在头条！
热点资讯应有尽有 — 智能推荐你感兴趣的信息、无数明星大V在这里跟你互动；
人人都是原创作者 — 发布自己的微头条、与千万网友在问答区讨论热点；
发现生活记录生活 — 有精彩无广告短视频，也有草根生活喊麦达人原创小视频；
专属领域满足个性 — 分类连载小说漫画超快更新，体育美妆全部覆盖；
【发布专属微头条】
上传发布内容，你也可以上头条！
超多明星大V入驻，与偶像互动升级

【新鲜短视频看不停】
影视娱乐游戏生活...覆盖千万精彩短视频
无广告省流量，热点冷门一键看过瘾

【丰富频道 你要的都在这里】
海量小说免费读，超清漫迷社区
一手体育新闻  热辣赛事点评
【个性化内容支持收藏】
80万+头条号网罗精彩资讯，有内容有观点
心仪内容一键收藏，历史记录搜索无压力
@联系头条今日头条官网：toutiao.com
头条号自媒体平台：mp.toutiao.com
官方合作：BD@toutiao.com
任何反馈：请打开APP，前往“我的-用户反馈”进",应用宝,https://sj.qq.com/appdetail/com.ss.android.article.news,known_package_verify,0.85,2026-03-09 07:08:25
93,com.ss.android.ugc.aweme,抖音,飞书,北京抖音科技有限公司,北京抖音科技有限公司,37.9.0,,,866048826,"抖音，记录美好生活

每天，都有亿万人打开抖音，让生活变得更加美好。
●  看精彩直播
屏幕里的美好现场，陪伴你的每分每秒。
●  追上头短剧
剧情高能不断，看得开心，追得过瘾。
●  玩爆款特效
丰富装扮效果，上一秒甜美，下一秒酷炫。
●  看抖音精选
凭热爱创作的优质中长视频，让时间不虚度。
● 开启长辈模式
享受贴心关爱与陪伴，看得更清，用得舒心。

● 不仅如此，抖音还深入各领域，为美好生活，创造更多新可能。
拿起抖音，农特产发现新销路，宝妈找到新工作，小店迎来新客群；打开抖音，古籍焕发新生命，非遗等来满堂彩，知识也从庙堂传入市井；有了抖音，退休老人可以在直播间发挥余热，孩子们得以在线上课堂茁壮成长，公益事业也能人人可及。",应用宝,https://sj.qq.com/appdetail/com.ss.android.ugc.aweme,known_package_verify,0.85,2026-03-09 07:08:27
94,com.ss.android.ugc.aweme.lite,抖音极速版,飞书,北京抖音科技有限公司,北京抖音科技有限公司,37.9.0,,,127500026,"抖音是记录美好生活，帮助用户表达自我的原创短视频分享平台。 

【金币红包】看视频、拍视频、邀好友，均可获得专属金币红包，玩法丰富有趣，助你轻松赚钱！ 
【内容精彩】看视频、聊科技、精彩内容应有尽有，智能推荐专属内容，还能及时查阅达人与好友的近期动态。",应用宝,https://sj.qq.com/appdetail/com.ss.android.ugc.aweme.lite,known_package_verify,0.85,2026-03-09 07:08:28
97,com.ss.android.article.lite,今日头条极速版,飞书,北京抖音信息服务有限公司,北京抖音信息服务有限公司,15.8.0.0,,,686236762,"今日头条，懂你的信息平台
 
官方推荐精品应用，千万网友与你一起在头条！
 
热点资讯应有尽有 — 智能推荐你感兴趣的信息、无数明星大V在这里跟你互动；
人人都是原创作者 — 发布自己的微头条、与千万网友在问答区讨论热点；
发现生活记录生活 — 有精彩无广告短视频，也有草根生活喊麦达人原创小视频；
专属领域满足个性 — 分类连载小说漫画超快更新，足球美妆全部覆盖；",应用宝,https://sj.qq.com/appdetail/com.ss.android.article.lite,known_package_verify,0.85,2026-03-09 07:08:30
99,com.ss.android.ugc.live,抖音火山版,飞书,北京抖音科技有限公司,北京抖音科技有限公司,37.9.0,,,506397467,"抖音火山版—原火山小视频 
在品牌升级后的火山，交到更多的朋友，看见更大的世界。

【达人奇趣在火山，新鲜内容刷不停】 
在小视频和直播间发现你喜欢的人，发现喜欢你的人：圈子达人，新鲜资讯，家人朋友。让火山定制你专属的视频与直播内容，新鲜永远刷不停！ 
【超多美颜滤镜，一秒编辑变大片】 
超多美颜滤镜、激萌自拍表情、海量背景音乐，功能强大易上手，创作属于自己的15s短视频，一秒编辑变大片，从此不担心丢失精彩生活片段！ 
【支持高清播放上传】 
实时传递高清画面，录制上传更稳定；提前缓存免流量，大屏观看同样清晰。 
【温馨陪伴在抖音】 
开启长辈模式，享受贴心关爱与陪伴，看得更清，用得舒心。 

@ 联系我们 
-应用内反馈：「我的」-「设置」-「反馈与帮助」 
-举报与投诉：jubao@huoshan.com",应用宝,https://sj.qq.com/appdetail/com.ss.android.ugc.live,known_package_verify,0.85,2026-03-09 07:08:32
100,com.ss.android.auto,懂车帝,飞书,重庆懂车帝科技有限公司,北京空间变换科技有限公司,8.9.6,,,44615003,懂车帝 - 值得信赖的新车二手车选买平台 为你实时更新丰富有趣的汽车资讯，提供真实车主口碑与价格，更有便捷实用的选车工具，充分满足你对汽车APP的期待；累计用户超过5亿。 --6大亮点，诚意满满-- 【真实】百万真实车主，分享“车主成交价、真实车主口碑”，让你买车不吃亏！ 【专业】云集专业汽车测评人的真实体验的懂车分，平台打造专业客观的原创内容，为你深入浅出地展现爱车每一面。 【有趣】丰富的“直播、小视频”内容体验；创新的“3D看车、拍照识车”等丰富有趣的内容和功能，让你告别枯燥，开心选车。 【政府补贴】2025年懂车帝成为商务部及多省商务部门汽车以旧换新服务平台，为31省用户提供汽车置换更新、报废更新领取和查询服务。 【优惠】多样的平台优惠活动，特价车、直播优惠券等，福利满满，让你买车更优惠！ 【实用】超细致的参数配置、视频说明书、专业评测、选车pk等实用功能，在家也能轻松选车,应用宝,https://sj.qq.com/appdetail/com.ss.android.auto,known_package_verify,0.85,2026-03-09 07:08:33
102,com.ss.android.article.video,西瓜视频,飞书,北京抖音信息服务有限公司,北京抖音信息服务有限公司,10.2.4,,,969454648,"西瓜视频
抖音旗下中长视频平台，涵盖影视、剧情、资讯、明星、搞笑、生活记录等多类内容。每月超过320万创作人、1.8亿用户活跃在西瓜视频。

【来西瓜视频 免费看短剧还能领金币】
全场短剧免费看，一边看一边在赚金币！ 免费短剧看越多赚越多，连续签到领取翻倍金币奖励！
都市言情、逆袭复仇、穿越脑洞、恋爱豪门、赘婿逆袭等多品类剧目，海量短剧应有尽有；操作简单，轻轻一点即可开始爽剧之旅，支持支持倍速观看、跳集播放、滑动切换等功能，带你畅游短剧！
- 精彩短剧内容：《二十九》《午后玫瑰》《金猪玉叶》《桃花马上请长缨》《丐世龙婿》《结婚当天我成了豪门继承人》《女婿回乡》《闪婚小孕妻》《神尊归位》《龙升》《外卖老爹竟是满级大佬》《大夏傻神》《练气至尊》等

【西瓜放映厅 你的专属私人影院】
足不出户看大片，打造你的私人家庭影院！
《涉过愤怒的海》《夺宝奇兵5》《疯狂元素城》《速度与激情10》《银河护卫队3》《满江红》《阿凡达：水之道》全网同步首发，
还有经典电视剧、高分电影、热门综艺等精品内容，4K超高清更精彩。

【在这里 看见不一样的烟火】
你可以跟着@渔人阿烽去海边开盲盒，也可以跟着@洛桑和",应用宝,https://sj.qq.com/appdetail/com.ss.android.article.video,known_package_verify,0.85,2026-03-09 07:08:34
105,com.luna.music,汽水音乐,飞书,北京抖音科技有限公司,北京抖音科技有限公司,18.4.0,,,9656494,"【汽水音乐】抖音出品官方音乐app，随时随地，懂你想听。

-个性推荐，发现小众好歌
发现好音乐不再是难题。根据你和品味相似的人的听歌偏好，为你推荐感兴趣的歌曲，拒绝千篇一律，懂你想听。

-场景音乐&分类电台，随时找到你想听的音乐
学习/运动/打游戏/通勤途中时想听歌？想听嘻哈/摇滚/电音/R&B？场景音乐模式分类电台帮你随时随地，快速找到适合的音乐。

-轻松好用，即开即听
简洁顺滑的交互设计，无需复杂操作，快速享受好音乐。

- 同步抖音音乐收藏，下次听更方便
视频中的好音乐，收藏不再是困难。支持抖音音乐收藏同步，听歌更方便。

- 特色榜单，为喜爱音乐的你而打造
了解喜爱音乐的人都在听什么歌，发现更多好歌

- 千万曲库，海量音乐随心听
收录流行/嘻哈/电音/摇滚/国风/民谣/独立/纯音乐/R&B/爵士/乡村/蓝调/雷鬼/拉丁等音乐品类，好歌听不完。",应用宝,https://sj.qq.com/appdetail/com.luna.music,known_package_verify,0.85,2026-03-09 07:08:37
426,com.bytedance.ls.merchant,抖音来客,飞书,成都所见所得科技有限公司,成都所见所得科技有限公司,10.9.5,,,996278,"抖音来客-抖音官方出品的本地商家经营平台

【抖音来客】是抖音生活服务官方出品的本地商家经营平台，入驻后可实现管理门店信息、上架团购、营销推广、经营结算等全流程功能。
依靠抖音庞大用户流量，让您轻松线上经营，快速收益。

功能介绍：
【门店管理】：快捷入驻，轻松上手
新店入驻后认领门店，管理信息和图片，上架商品、快速完成新手必备技能～
【营销推广】：多种渠道，智能流量
关联抖音账号，实现直播、短视频带货商品！依靠抖音庞大的用户流量，爆客没问题～
【数据分析】：看清大盘、玩转经营
直播、短视频观看、带货数据、订单交易流水、用户数据分析等等，一目了然引导经营～
【交易提现】：收益明晰，快速到账
订单明细清晰、收益快速到账，轻松赚钱无烦恼～",应用宝,https://sj.qq.com/appdetail/com.bytedance.ls.merchant,snowball_round_1,0.85,2026-03-09 07:13:59
